date,BAJAJ-AUTO,BEL,BHARTIARTL,M&M,TRENT
2023-10-04,0.9804941741669908,0.997485632183908,0.9988652328974388,0.990048133211916,0.9821281142246612
2023-10-05,0.998923541548306,0.9982040229885056,1.003836593537231,1.0003577468453233,0.9944150356952068
2023-10-06,0.999631213308216,0.9985632183908048,1.000810547930401,1.007447638870821,1.0063134379097665
2023-10-09,0.998176000956852,0.9752155172413794,0.9991894520695992,0.9855600364251332,1.0096886989461418
2023-10-10,1.004196194520029,1.0053879310344829,1.0249108397276558,1.000292701964355,0.9959691127191492
2023-10-11,1.0095585523627266,0.9895833333333336,1.0327461363881985,1.0122934825029266,1.0204943907532418
2023-10-12,1.017970875818557,0.9928160919540232,1.0270723008753917,1.019025627683101,1.0087902481666746
2023-10-13,1.0071664224700734,0.9874281609195404,1.0312331135847832,1.0162937426824503,1.012481181098538
2023-10-16,1.012010485502696,0.9870689655172415,1.0229655246946934,1.0241641732795623,1.0235782623476275
2023-10-17,1.024878150883593,0.9953304597701153,1.0306387117691558,1.0254975933394035,1.0096644164926425
2023-10-18,1.0241007086684806,0.9845545977011496,1.0297741273100616,1.024359307922466,0.9950706619396822
2023-10-19,1.0929242791216895,0.9841954022988506,1.019074894628769,1.020911929231169,1.000728473604973
2023-10-20,1.0942598849784209,0.9640804597701148,1.021506538419972,1.0135618576818,0.9888543538439124
2023-10-23,1.0775349101456206,0.9533045977011494,1.015130228034151,1.018049954468583,0.9673886649507067
2023-10-25,1.0659530145820248,0.942528735632184,0.9970820274505564,1.0206192272668135,0.9680200087416831
2023-10-26,1.0484206959104545,0.925646551724138,0.9786015346374148,0.9796409522570568,0.9864018260405032
2023-10-27,1.0711857987222035,0.9497126436781612,0.9884361828596132,0.9826980616625466,1.030595891408868
2023-10-30,1.0582981989255345,0.9479166666666669,1.0010266940451746,0.9742422271367236,1.0294546160944102
2023-10-31,1.0593248213377982,0.9572557471264368,0.9882200367448396,0.9487446337973195,1.046428051090282
2023-11-01,1.0653649493167474,0.9511494252873564,0.9871933426996652,0.9461428385586048,1.067286678646011
2023-11-02,1.0601919684238847,0.9680316091954024,0.9984329406678916,0.9559646155847528,1.0634986159001507
2023-11-03,1.0702688155966862,0.9766522988505748,1.0058899816275804,0.9555093014179776,1.0667281822155312
2023-11-06,1.077823959174316,0.9888649425287358,1.0150221549767644,0.9680629634447762,1.0845515030838715
2023-11-07,1.0802459906906272,0.9917385057471269,1.012806657300335,0.9625016261220236,1.1772133456364435
